team,points,played,win,draw,lost,goalFor,goalAgainst,penaltyKick,goalDiff
  OLYMPIQUE LYONNAIS  ,12,4,4,0,0,12,3,0,9
  PARIS SAINT-GERMAIN  ,10,4,3,1,0,10,3,0,7
  PARIS FC  ,10,4,3,1,0,6,1,0,5
  MONTPELLIER HSC  ,7,4,2,1,1,7,4,0,3
  STADE DE REIMS  ,6,4,2,0,2,6,8,0,-2
  FC FLEURY 91  ,5,4,1,2,1,6,4,0,2
  GIRONDINS BORDEAUX  ,5,4,1,2,1,5,4,0,1
  ASJ SOYAUX CHARENTE  ,4,4,1,1,2,4,5,0,-1
  HAVRE AC  ,4,4,1,1,2,5,7,0,-2
  DIJON FCO  ,4,4,1,1,2,2,6,0,-4
  EA GUINGAMP  ,0,4,0,0,4,0,8,0,-8
  RODEZ AVEYRON F.  ,0,4,0,0,4,0,10,0,-10
